 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
197,2,81,893.493,1192.826,0,94.978,4.478,23.812,141.217,906.761,4.36E-04
198,2,82,894.058,1196.865,0,95.401,4.492,24.022,143.774,935.031,3.43E-17
199,2,83,894.602,1201.944,0,96.164,4.623,25.691,161.467,1114.51,0.127
200,2,84,895.223,1206.518,0,94.922,4.53,24.245,143.998,921.557,8.76E-08
201,2,85,895.838,1210.904,0,92.02,4.435,23.226,134.991,845.414,0
202,2,86,896.627,1215.193,0,89.801,4.372,22.618,130.078,807.348,0
203,2,87,897.191,1219.248,0,87.658,4.27,21.508,120.138,722.873,0
204,2,88,897.489,1223.488,0,86.772,4.282,21.64,121.245,731.513,0
205,2,89,897.412,1227.855,0,86.96,4.344,22.244,126.179,770.711,1.96E-17
206,2,90,897.433,1232.062,0,88.429,4.452,23.388,136.381,857.775,0
207,2,91,898.827,1237.104,0,88.861,4.564,24.751,149.541,975.836,0
208,2,92,900.968,1243.284,0,90.481,4.596,25.156,153.968,1021.483,0
209,2,93,902.782,1249.055,0,95.11,4.562,24.808,150.669,990.835,5.22E-10
210,2,94,904.376,1254.47,0,96.677,4.578,24.977,152.26,1005.074,2.15E-18
211,2,95,905.891,1259.635,0,100.522,4.603,25.106,152.408,999.512,0.292
212,2,96,907.189,1264.323,0,99.95,4.554,24.509,146.507,944.152,6.22E-04
213,2,97,908.617,1268.914,0,98.558,4.531,24.298,144.847,931.925,1.42E-30
214,2,98,910.29,1273.217,0,100.724,4.488,23.687,138.301,868.078,0
215,2,99,912.131,1277.722,0,104.015,4.61,25.393,161.662,1224.031,9.45E-23
216,2,100,914.321,1282.308,0,108.834,4.753,27.244,183.307,1484.893,0
217,2,101,916.815,1286.305,0,109.046,4.774,27.225,179.187,1388.022,0
218,2,102,918.942,1289.779,0,95.646,4.611,26.228,181.423,1582.184,7.50E-06
219,2,103,921.528,1293.875,0,88.037,4.508,25.42,176.208,1529.656,0
220,2,104,924.014,1298.432,0,91.906,4.577,26.414,191.437,1779.209,2.11E-36
221,2,105,926.201,1302.679,0,92.931,4.698,29.325,249.997,2907.755,0
222,2,106,929.17,1307.393,0,92.038,4.485,23.881,141.559,906.312,1.56E-31
223,2,107,932.055,1311.76,0,80.408,4.617,25.874,163.306,1120.077,0
224,2,108,934.772,1317.473,0,77.938,4.484,24.425,150.391,1009.548,0
225,2,109,936.182,1322.511,0,94.506,4.562,24.784,150.46,990.054,7.25E-35
226,2,110,937.961,1327.508,0,96.918,4.606,25.288,155.239,1033.153,3.59E-04
227,2,111,939.77,1331.843,0,96.003,4.645,26.385,177.7,1458.697,2.59E-13
228,2,112,941.871,1336.085,0,96.402,4.685,26.509,172.312,1273.22,1.40E-45
229,2,113,943.734,1341.014,0,99.291,4.753,27.157,175.369,1242.619,5.34E-08
230,2,114,944.947,1346.184,0,99.931,4.771,27.18,173.081,1193.426,0.012
231,2,115,946.408,1350.463,0,97.263,4.638,25.463,156.94,1076.414,12.571
232,2,116,948.233,1355.155,0,96.105,4.683,26.186,164.475,1128.463,0.418
233,2,117,950.208,1359.611,0,95.978,4.571,25.019,156.302,1109.614,6.33E-11
234,2,118,952.764,1363.981,0,98.819,4.599,25.305,161.146,1225.685,2.00E-04
235,2,119,955.347,1368.344,0,104.585,4.64,25.316,152.855,992.699,0
236,2,120,958.446,1372.259,0,109.729,4.736,26.288,161.005,1057.821,0
237,2,121,961.49,1375.756,0,111.168,4.744,26.266,159.911,1041.278,0
238,2,122,964.44,1378.801,0,101.248,4.519,24.001,140.947,889.68,0
239,2,123,967.567,1382.08,0,96.513,4.442,23.301,135.718,852.882,1.40E-44
240,2,124,971.352,1385.678,0,96.612,4.427,23.085,133.339,829.008,0
241,2,125,974.955,1389.325,0,95.692,4.474,23.764,140.864,904.881,0
242,2,126,978.187,1392.929,0,93.086,4.513,24.289,146.225,956.498,1.18E-42
243,3,1,895.284,1100.832,0,46.512,4.032,19.983,113.229,707.501,0
244,3,2,892.829,1101.809,0,89.184,4.408,23.202,137.045,882.055,0
245,3,3,889.882,1102.742,0,118.417,4.837,27.15,166.928,1094.93,0
246,3,4,885.582,1104.392,0,129.865,5.039,29.405,187.669,1276.111,1.33E-40
247,3,5,881.004,1106.359,0,133.913,5.102,30.233,196.594,1367.121,0
248,3,6,876,1108.337,0,133.71,5.154,30.914,203.519,1431.112,0
249,3,7,870.561,1110.402,0,136.184,5.178,31.165,205.887,1453.984,0
250,3,8,865.238,1112.315,0,136.963,5.234,31.964,214.852,1547.27,0
251,3,9,859.81,1114.078,0,136.826,5.293,32.688,222.084,1614.873,0
252,3,10,854.289,1115.393,0,134.576,5.298,32.86,225.08,1656.634,0
253,3,11,848.875,1116.598,0,135.743,5.322,33.145,227.668,1677.279,0
254,3,12,843.164,1117.344,0,133.174,5.255,32.359,220.157,1610.102,0
255,3,13,837.932,1117.836,0,134.569,5.266,32.337,218.271,1575.611,0
256,3,14,833.344,1118.294,0,135.634,5.243,31.997,214.434,1536.279,0
257,3,15,829.487,1118.981,0,136.642,5.237,31.859,212.44,1511.385,0
258,3,16,825.876,1119.775,0,131.832,5.097,30.096,194.415,1338.471,4.01E-23
259,3,17,822.828,1120.838,0,125.87,4.968,28.678,183.358,1293.905,0
260,3,18,820.783,1122.104,0,122.782,4.899,27.747,171.853,1136.928,0
261,3,19,819.014,1124.076,0,123.697,4.959,28.513,179.551,1206.309,0
262,3,20,817.108,1127.457,0,140.265,5.332,32.955,222.806,1604.442,0
263,3,21,815.468,1130.495,0,139.687,5.354,33.474,230.367,1697.303,2.80E-45
264,3,22,813.443,1135.139,0,143.029,5.473,35.101,248.477,1886.776,3.58E-21
265,3,23,810.96,1141.254,0,143.702,5.483,35.219,249.694,1900.088,3.88E-30
266,3,24,808.589,1147.525,0,143.333,5.46,34.903,246.114,1861.13,3.11E-26
267,3,25,806.652,1153.835,0,146.263,5.503,35.512,253.455,1945.89,2.57E-08
268,3,26,804.997,1159.883,0,147.789,5.532,35.884,257.399,1986.481,9.02E-09
269,3,27,803.372,1166.154,0,143.83,5.463,34.902,245.848,1856.872,0
270,3,28,801.91,1171.585,0,140.748,5.585,36.451,262.462,2029.573,0
271,3,29,800.666,1176.667,0,135.573,5.576,36.286,260.782,2015.816,0
272,3,30,799.341,1181.199,0,135.58,5.392,34.086,237.874,1780.795,0
273,3,31,797.89,1184.035,0,136.857,5.343,33.4,230.303,1704.383,0
274,3,32,795.933,1186.295,0,137.139,5.303,32.668,220.558,1588.737,0
275,3,33,793.597,1188.256,0,134.389,5.343,34.408,265.163,2547.367,8.62E-38
276,3,34,791.627,1190.049,0,133.361,5.57,39.16,347.968,3930.213,0
277,3,35,790.22,1191.354,0,138.648,5.707,40.533,353.976,3811.743,2.34E-34
278,3,39,787.028,1184.297,0,129.823,5.429,35.59,273.592,2482.168,0
279,3,43,782.665,1165.255,0,127.195,5.46,35.492,258.425,2050.666,0
280,3,44,780.678,1160.395,0,132.435,5.462,35.572,259.195,2047.296,1.40E-45
281,3,45,778.477,1155.625,0,137.74,5.539,36.663,272.988,2219.39,0
282,3,46,775.165,1150.17,0,133.713,5.465,36.165,276.74,2420.636,0
283,3,47,771.416,1145.162,0,135.215,5.465,35.932,271.419,2349.496,6.39E-43
284,3,48,767.241,1140.852,0,132.469,5.405,34.699,248.079,1913.667,0
285,3,49,765.494,1139.792,0,135.79,5.398,34.514,245.487,1883.722,4.39E-32
286,3,50,765.816,1139.796,0,133.058,5.198,31.557,210.88,1508.157,0.003
287,3,51,766.382,1140.324,0,124.781,4.897,27.689,170.754,1119.231,0
288,3,52,767.257,1141.057,0,118.931,4.796,26.617,161.359,1040.849,0
289,3,53,768.112,1142.441,0,120.494,4.837,27.186,169.437,1171.737,0
290,3,54,768.973,1143.672,0,118.987,4.833,27.402,176.437,1328.025,0
291,3,55,769.346,1144.772,0,115.071,4.766,27.096,182.621,1553.672,0
292,3,56,769.674,1146.097,0,113.773,4.812,28.388,208.886,2042.175,0
293,3,57,769.596,1147.624,0,112.51,4.767,27.918,204.835,2001.115,0
294,3,58,769.648,1149.726,0,114.96,4.813,28.13,199.655,1801.283,0
295,3,59,769.581,1151.721,0,119.413,4.895,28.686,197.061,1625.491,0
296,3,60,769.856,1154.069,0,120.911,4.92,28.577,187.362,1375.913,0
297,3,61,770.748,1157.199,0,118.519,4.831,27.364,172.302,1181.826,0
298,3,62,772.033,1160.164,0,120.689,4.856,27.415,169.757,1122.245,0
299,3,63,773.834,1162.506,0,118.247,4.766,26.33,159.216,1026.632,0
300,3,64,776.299,1164.078,0,119.067,4.822,27.022,166.143,1091.868,6.363
301,3,65,779.414,1165.587,0,119.429,4.862,27.428,169.477,1117.36,5.01E-14
302,3,66,781.791,1167.232,0,119.59,5.03,29.65,193.028,1350.059,1.77E-13
303,3,67,783.503,1168.265,0,115.406,5.071,30.233,199.511,1417.569,0
304,3,68,782.545,1168.075,0,115.769,4.969,28.882,185.108,1273.315,0
305,3,69,780.096,1166.72,0,118.102,4.851,27.313,168.47,1108.633,0
306,3,70,779.476,1165.406,0,122.786,4.908,27.823,172.085,1131.518,0
307,3,71,778.712,1162.751,0,136.171,5.289,32.678,222.424,1622.46,0
308,3,72,778.195,1156.912,0,134.521,5.398,34.573,247.085,1912.515,7.36E-05
309,3,73,777.577,1150.394,0,129.851,5.419,35.434,263.905,2179.638,0
310,3,74,777.24,1143.695,0,126.866,5.38,35.42,277.398,2628.697,0
311,3,75,777.047,1137.013,0,127.487,5.363,34.296,245.454,1906.088,0
312,3,76,777.336,1130.231,0,128.102,5.357,33.934,239.291,1825.001,0
313,3,77,777.629,1123.73,0,132.839,5.379,34.166,240.844,1829.167,2.92E-18
314,3,78,778.108,1117.132,0,135.489,5.429,34.855,249.254,1929.516,0
315,3,79,778.349,1110.459,0,131.045,5.357,33.929,238.893,1815.436,0
316,3,80,778.715,1104.142,0,132.762,5.375,34.207,242.517,1860.647,0
317,3,81,778.884,1097.439,0,131.946,5.39,34.274,241.683,1835.173,0
318,3,82,778.865,1091.13,0,133.411,5.422,34.71,246.72,1890.61,0
319,3,83,778.47,1085.14,0,132.895,5.434,34.738,246.038,1876.742,0
320,3,84,777.879,1078.744,0,127.211,5.366,34.001,238.748,1802.788,0
321,3,85,777.081,1072.395,0,127.262,5.336,33.636,235.403,1775.536,3.83E-21
322,3,86,776.062,1066.26,0,129.541,5.327,33.495,233.756,1758.861,2.29E-07
323,3,87,775.084,1059.923,0,126.281,5.301,33.431,235.811,1805.521,0
324,3,88,774.003,1053.319,0,126.426,5.387,34.246,242.429,1857.427,0
325,3,89,773.148,1046.846,0,129.62,5.409,34.858,250.846,1952.003,0
326,3,90,772.359,1040.304,0,130.319,5.31,33.579,237.854,1832.046,5.50E-11
327,3,91,771.49,1033.722,0,129.039,5.296,33.345,234.678,1795.914,1.60E-26
328,3,92,771.081,1027.542,0,127.359,5.365,34.039,240.105,1827.134,0
329,3,93,771.13,1021.225,0,131.366,5.359,34.034,240.751,1842.604,7.67E-37
330,3,94,770.939,1014.792,0,127.567,5.304,33.48,236.344,1811.818,0
331,3,95,771.285,1008.435,0,130.852,5.642,36.828,264.603,2041.728,0
