 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
508,Step2 test1 3.2x0.63x-1.avi:2.40 s,124,1083.774,885.645,1083.774,885.645,15.979,9.881,6.325,0.882,60,1.617,0.618,0.919
509,Step2 test1 3.2x0.63x-1.avi:2.40 s,131,1706.76,1200.431,1706.76,1200.431,17.18,9.709,136.215,0.862,60,1.77,0.565,0.903
510,Step2 test1 3.2x0.63x-1.avi:2.40 s,131,1500.218,1455.202,1500.218,1455.202,15.435,10.806,21.474,0.83,60,1.428,0.7,0.891
511,Step2 test1 3.2x0.63x-1.avi:2.40 s,171,690.044,1506.038,690.044,1506.038,17.706,12.296,53.528,0.815,60,1.44,0.694,0.905
512,Step2 test1 3.2x0.63x-1.avi:2.40 s,190,762.642,1688.111,762.642,1688.111,20.662,11.708,142.283,0.813,60,1.765,0.567,0.913
513,Step2 test1 3.2x0.63x-1.avi:2.40 s,198,765.788,1735.268,765.788,1735.268,19.953,12.634,173.761,0.863,60,1.579,0.633,0.921
514,Step2 test1 3.2x0.63x-1.avi:2.40 s,181,477.831,1785.334,477.831,1785.334,19.413,11.871,42.897,0.648,60,1.635,0.611,0.83
515,Step2 test1 3.2x0.63x-1.avi:2.40 s,120,1147.375,1811.7,1147.375,1811.7,15.648,9.764,129.939,0.853,60,1.603,0.624,0.916
516,Step2 test1 3.2x0.63x-1.avi:2.44 s,154,1153.825,769.727,1153.825,769.727,14.485,13.537,154.304,0.987,61,1.07,0.935,0.936
517,Step2 test1 3.2x0.63x-1.avi:2.44 s,124,1396.306,788.169,1396.306,788.169,15.726,10.04,145.815,0.848,61,1.566,0.638,0.899
518,Step2 test1 3.2x0.63x-1.avi:2.44 s,114,1089.412,885.675,1089.412,885.675,15.727,9.229,5.54,0.858,61,1.704,0.587,0.905
519,Step2 test1 3.2x0.63x-1.avi:2.44 s,127,1702.059,1196.469,1702.059,1196.469,16.239,9.958,130.662,0.805,61,1.631,0.613,0.898
520,Step2 test1 3.2x0.63x-1.avi:2.44 s,130,1496.423,1457.092,1496.423,1457.092,14.816,11.172,28.265,0.899,61,1.326,0.754,0.925
521,Step2 test1 3.2x0.63x-1.avi:2.44 s,174,686.69,1511.029,686.69,1511.029,17.575,12.606,46.859,0.907,61,1.394,0.717,0.928
522,Step2 test1 3.2x0.63x-1.avi:2.44 s,190,761.921,1686.242,761.921,1686.242,19.662,12.304,135.06,0.865,61,1.598,0.626,0.925
523,Step2 test1 3.2x0.63x-1.avi:2.44 s,201,772.351,1735.689,772.351,1735.689,19.723,12.976,171.851,0.821,61,1.52,0.658,0.928
524,Step2 test1 3.2x0.63x-1.avi:2.44 s,218,474.275,1788.95,474.275,1788.95,22.857,12.143,32.015,0.787,61,1.882,0.531,0.914
525,Step2 test1 3.2x0.63x-1.avi:2.44 s,125,1150.716,1816.22,1150.716,1816.22,16.103,9.884,127.944,0.855,61,1.629,0.614,0.912
526,Step2 test1 3.2x0.63x-1.avi:2.48 s,150,1157.093,770.547,1157.093,770.547,14.655,13.032,157.396,0.912,62,1.125,0.889,0.915
527,Step2 test1 3.2x0.63x-1.avi:2.48 s,119,1399.92,790.122,1399.92,790.122,15.314,9.894,149.763,0.846,62,1.548,0.646,0.898
